Ant_Species,Replicate,Treatment,Number_Removed
C_aeneopilosus,1,Eggs,0
C_aeneopilosus,2,Eggs,0
C_aeneopilosus,3,Eggs,0
C_aeneopilosus,4,Eggs,0
C_aeneopilosus,5,Eggs,0
C_aeneopilosus,6,Eggs,0
C_aeneopilosus,7,Eggs,0
C_aeneopilosus,8,Eggs,0
C_aeneopilosus,9,Eggs,0
C_aeneopilosus,10,Eggs,0
C_aeneopilosus,1,Seeds,0
C_aeneopilosus,2,Seeds,0
C_aeneopilosus,3,Seeds,3
C_aeneopilosus,4,Seeds,1
C_aeneopilosus,5,Seeds,0
C_aeneopilosus,6,Seeds,0
C_aeneopilosus,7,Seeds,1
C_aeneopilosus,8,Seeds,0
I_purpureus,1,Eggs,0
I_purpureus,2,Eggs,10
I_purpureus,3,Eggs,6
I_purpureus,4,Eggs,10
I_purpureus,5,Eggs,10
I_purpureus,6,Eggs,10
I_purpureus,7,Eggs,6
I_purpureus,8,Eggs,3
I_purpureus,9,Eggs,8
I_purpureus,10,Eggs,9
I_purpureus,1,Seeds,10
I_purpureus,2,Seeds,1
I_purpureus,3,Seeds,7
I_purpureus,4,Seeds,10
I_purpureus,5,Seeds,8
I_purpureus,6,Seeds,7
I_purpureus,7,Seeds,10
I_purpureus,8,Seeds,10
I_rufoniger,1,Eggs,0
I_rufoniger,2,Eggs,0
I_rufoniger,3,Eggs,0
I_rufoniger,4,Eggs,0
I_rufoniger,5,Eggs,0
I_rufoniger,6,Eggs,0
I_rufoniger,7,Eggs,0
I_rufoniger,8,Eggs,0
I_rufoniger,9,Eggs,0
I_rufoniger,10,Eggs,0
I_rufoniger,1,Seeds,1
I_rufoniger,2,Seeds,0
I_rufoniger,3,Seeds,0
I_rufoniger,4,Seeds,0
I_rufoniger,5,Seeds,0
I_rufoniger,6,Seeds,0
I_rufoniger,7,Seeds,0
I_rufoniger,8,Seeds,1
M_tarsata,1,Eggs,0
M_tarsata,2,Eggs,0
M_tarsata,3,Eggs,0
M_tarsata,4,Eggs,0
M_tarsata,5,Eggs,0
M_tarsata,6,Eggs,0
M_tarsata,7,Eggs,0
M_tarsata,8,Eggs,0
M_tarsata,1,Seeds,0
M_tarsata,2,Seeds,0
M_tarsata,3,Seeds,1
M_tarsata,4,Seeds,1
M_tarsata,5,Seeds,0
M_tarsata,6,Seeds,0
M_tarsata,7,Seeds,0
M_tarsata,8,Seeds,0
R_metallica,1,Eggs,0
R_metallica,2,Eggs,0
R_metallica,3,Eggs,1
R_metallica,4,Eggs,0
R_metallica,5,Eggs,0
R_metallica,6,Eggs,0
R_metallica,7,Eggs,0
R_metallica,8,Eggs,0
R_metallica,9,Eggs,5
R_metallica,10,Eggs,4
R_metallica,1,Seeds,1
R_metallica,2,Seeds,10
R_metallica,3,Seeds,5
R_metallica,4,Seeds,10
R_metallica,5,Seeds,0
R_metallica,6,Seeds,9
R_metallica,7,Seeds,10
R_metallica,8,Seeds,0
